day,hour,dayofweek,dayofyear,weekofyear,Core Ess Current Avg,Core Ess Brick Min Voltage Avg,Core System Ambient Temp Avg,Core System Link Voltage Avg,Core System Humidity Avg,Core Mppt Output Current Avg,Core Mppt Array Voltage Avg,Core Sum of Load Current Avg,Core Ess Max Soc Avg,Metric Solar Energy Provided Asum,Metric Load Energy Used Asum,Metric Load Measurement Avg,Metric Battery Energy Provided Asum,Metric Battery Energy Consumed Asum,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),direct_normal_irradiance (W/m²)
1,0,0,335,49,-14.3595,3.6161877,33.326485,50.943,39.154133,0,0.31997681,-14.134,42.88072,0,0.57796305,0.72047401,0.58584213,0,23.4,96,6,0
1,1,0,335,49,-11.6595,3.6021985,33.3751435,50.676,39.263263,0,0.36392212,-11.3875,39.238386,0,0.5015094,0.57621399,0.50752115,0,23,98,0.2,0
1,2,0,335,49,-11.051,3.58333315,33.426357,50.434501,39.613127,0,0.168914795,-11.1955,36.624231,0,0.46867236,0.54536726,0.4750787,0,23.5,97,0.2,0
1,3,0,335,49,-11.1445,3.5635028,33.364899,50.163001,39.738514,0,0.112609862,-11.1955,33.7942535,0,0.4640818,0.56290876,0.4721241,0,23.4,98,0,0
1,4,0,335,49,-12.604,3.53387555,33.382826,49.840501,39.692853,0,0.278778075,-12.545,30.55271,0,0.48083115,0.625475635,0.4891145,0,23.3,97,0,0
1,5,0,335,49,-12.7565,3.51526985,33.3456935,49.491001,39.7565785,0,0.333709718,-13.158,26.814376,0,0.5002819,0.652876675,0.5091238,0,22.9,97,0.1,0
1,6,0,335,49,-14.396,3.4772903,33.376423,49.0425,39.699242,0.2783203,25.81924414,-14.155,22.1514,0.001883037,0.66592205,0.696511315,0.67228085,0,22.6,99,5.8,0
1,7,0,335,49,-11.248,3.4471222,33.36618,48.5565,39.7673245,4.268799,50.708771,-16.728,17.026329,0.14822394,0.75778556,0.811535325,0.5344854,0,23.8,98,1.9,0
1,8,0,335,49,6.134,3.4640851,33.2996,48.729,39.482179,14.3725584,49.35196,-18.673,18.57896,0.77057445,0.96175236,0.90727805,0.029613858,0.38010016,24.4,95,0.3,15.3
1,9,0,335,49,10.112,3.51806315,33.0960165,49.404,38.2004185,18.381348,50.9930415,-19.3695,25.742492,0.9967124,1.0066867,0.974860025,0.000106537,0.6730806,24.4,98,1,9.5
1,10,0,335,49,24.2565,3.5704297,32.8540225,50.145,35.758911,25.8776855,61.550905,-19.3695,34.031746,1.2856364,0.99813765,0.971763575,0,1.1422255,24.8,92,1.1,42.1
1,11,0,335,49,60.2505,3.64798165,32.8258525,51.426,36.059759,48.260499,62.7772515,-18.7915,48.281371,1.9100034,0.9937291,0.96094795,0,2.1186528,26.1,88,0.3,70.2
