Hour,Core Ess Current Amin,Core Ess Current Amax,Core Ess Brick Min Voltage Amin,Core Ess Brick Min Voltage Amax,Core Ess Brick Max Voltage Amin,Core Ess Brick Max Voltage Amax,Core Ess Brick Max Temp Amin,Core Ess Brick Max Temp Amax,Core Ess Brick Min Temp Amin,Core Ess Brick Min Temp Amax,Core System Ambient Temp Amin,Core System Ambient Temp Amax,Core System Link Voltage Amin,Core System Link Voltage Amax,Core Ess String Min Voltage Amin,Core Ess String Min Voltage Amax,Core Ess String Max Voltage Amin,Core Ess String Max Voltage Amax,Core System Humidity Amin,Core System Humidity Amax,Core Rect Algo Offset Voltage Amin,Core Rect Algo Offset Voltage Amax,Core Pack Active Count Amin,Core Pack Active Count Amax,Core Pack Online Count Amin,Core Pack Online Count Amax,Core Mppt Active Count Amin,Core Mppt Active Count Amax,Core Mppt Output Current Amin,Core Mppt Output Current Amax,Core Mppt Array Voltage Amin,Core Mppt Array Voltage Amax,Core Mppt Array Power Amin,Core Mppt Array Power Amax,Core Mppt Temp Amin,Core Mppt Temp Amax,Core Sum of Load Current Amin,Core Sum of Load Current Amax,Core Ess Max Soc Amin,Core Ess Max Soc Amax,Core Ess Min Soc Amin,Core Ess Min Soc Amax,Core Ess Max Soh Amin,Core Ess Max Soh Amax,Core Ess Min Soh Amin,Core Ess Min Soh Amax,Core Mppt Array Current Amin,Core Mppt Array Current Amax,Core Diagnostic Event Uid Amin,Core Diagnostic Event Uid Amax,Tel Status Rect Measured Current Amin,Tel Status Rect Measured Current Amax,Tel Status Rect Measured Ac Voltage Amin,Tel Status Rect Measured Ac Voltage Amax,Tel Status Rect Measured Ac Current Amin,Tel Status Rect Measured Ac Current Amax,Metric Solar Energy Provided Asum,Metric Load Energy Used Asum,Metric Load Current Calc Amin,Metric Load Current Calc Amax,Metric Load Current Estimate Amin,Metric Load Current Estimate Amax,Metric Load Measurement Amin,Metric Load Measurement Amax,Metric Battery Energy Provided Asum,Metric Battery Energy Consumed Asum,Metric Grid Energy Provided Asum,Metric Generator Energy Provided Asum,Metric Load Online Time Asum,Metric Run Time to Empty Amin,Metric Run Time to Empty Amax,Metric Load 0 Energy Asum,Metric Load 1 Energy Asum,Metric Load 2 Energy Asum,Metric Load 3 Energy Asum,Metric Cell Signal Quality Amin,Metric Cell Signal Quality Amax,Metric Network Online Time Asum,Metric Grid Online Time Asum,Metric Genset Online Time Asum,Metric Controller Online Time Asum,Metric Hvac Online Time Asum,Tel Core Diagnostic Event Uid Amin,Tel Core Diagnostic Event Uid Amax,Metric Load Online Time No Ac Asum,Metric Co 2 E Avoided Gram Asum,Metric Diesel Avoided Gal Asum,Metric Energy Savings Usd Asum,Metric Trees Saved Acres Yr Asum,Metric Distance Saved Mile Asum,Metric Noxe Avoided Gram Asum,Metric So 2 E Avoided Gram Asum,Metric Voce Avoided Gram Asum,Metric Pm 10 E Avoided Gram Asum,Metric Mppt Temp Amin,Metric Mppt Temp Amax,Metric Remaining Hours Amin,Metric Remaining Hours Amax,Metric Ess Soc Amin,Metric Ess Soc Amax,Core Load Ac Voltage Amin,Core Load Ac Voltage Amax,Metric Ac Meter Line to Line Voltage Amin,Metric Ac Meter Line to Line Voltage Amax,Metric Ac Meter Line Current Amin,Metric Ac Meter Line Current Amax,Metric Ac Meter Active Power Amin,Metric Ac Meter Active Power Amax,Metric Ac Meter Active Cumulative Energy Amin,Metric Ac Meter Active Cumulative Energy Amax,Metric Ac Meter Active Relative Solar Energy Asum,Metric Ac Meter Active Relative Grid Energy Asum,Metric Ac Meter Frequency Amin,Metric Ac Meter Frequency Amax
01/12/2025 00:00,-23.405,-16.626,3.7668898,3.8580716,3.8160012,3.888785,32.275974,32.722977,29.54759,29.889185,32.615868,33.903946,53.193,54.225002,53.193,54.225002,53.214,54.294,33.661484,40.231575,0.1,0.1,4,4,4,4,2,2,0,0,0.6893921,1.6287231,0,0,29,30,-23.291,-16.457,61.20627,68.59158,59.765995,67.229866,1,1,1,1,0,0,0,0,0,0,,,0,0,0,1.1031146,16.457,23.291,16.626,23.405,0.88107497,1.2532268,1.1108463,0,0,0,3599.8848,462.57327,675.72076,-1.1031146,0,0,0,77.77778,81.111115,3403.8237,0,0,3599.8848,0,,,3599.8848,8500.534,0.84997326,2.1249335,0.001011968,18.537495,1821.4924,0.7099778,145.13536,129.26595,29,30,6.92644,10.15447,67.0794,76.28459,,,,,,,,,,,,,,
01/12/2025 01:00,-23.779,-15.007,3.6974165,3.7941923,3.7498975,3.818155,31.736301,32.275974,29.136787,29.54759,32.66964,33.903946,52.266,53.259,52.254,53.259,52.314,53.319,34.26588,41.643,0.1,0.1,4,4,4,4,2,2,0,0,0.670166,1.6122437,0,0,29,29,-23.631,-15.062,54.370064,61.235672,52.75726,59.853565,1,1,1,1,0,0,0,0,0,0,,,0,0,0,1.0624945,15.062,23.631,15.007,23.779,0.7916135,1.2412655,1.0685241,0,0,0,3599.889,412.32364,647.4443,-1.0624945,0,0,0,77.77778,81.111115,3599.889,0,0,3599.889,0,,,3599.889,8500.53,0.8499738,2.1249344,0.001011969,18.53751,1821.4928,0.70997787,145.1353,129.26588,29,29,6.1129794,9.603366,58.435528,67.1874,,,,,,,,,,,,,,
01/12/2025 02:00,-23.549,-12.847,3.6405761,3.717837,3.6943648,3.750894,31.361322,31.744104,28.823675,29.139303,32.656837,33.957726,51.489002,52.302002,51.486,52.302002,51.543,52.368,34.29562,42.200237,0.1,0.1,4,4,4,4,2,2,0,0,0.34881592,1.2524414,0,0,28.5,29,-23.371,-12.631,48.75424,54.381462,47.092262,53.10791,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.94704247,12.631,23.371,12.847,23.549,0.65786034,1.2205667,0.9548885,0,0,0,3599.8782,370.04877,717.68994,-0.94704247,0,0,0,77.77778,81.111115,3407.8909,0,0,3599.8782,0,,,3599.8782,8500.515,0.8499718,2.12493,0.001011966,18.53749,1821.4895,0.7099765,145.13521,129.26575,28.5,29,5.393257,10.563147,51.448887,58.867985,,,,,,,,,,,,,,
01/12/2025 03:00,-23.439,-9.423,3.6089725,3.6697872,3.659219,3.6986358,31.098335,31.363878,28.598825,28.823675,32.66196,33.96541,51.012,51.585,51.012,51.585,51.078,51.621002,34.566303,42.662647,0.1,0.1,4,4,4,4,2,2,0,0,0.2746582,0.48614502,0,0,28.5,28.5,-23.369,-9.236,45.25162,48.781754,43.885185,47.58683,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.7874214,9.236,23.369,9.423,23.439,0.47219974,1.2021948,0.79408455,0,0,0,3599.887,350.56134,840.31647,-0.7874214,0,0,0,78.888885,81.111115,3599.887,0,0,3599.887,0,,,3599.887,8500.538,0.849973,2.1249325,0.001011968,18.53751,1821.4929,0.7099777,145.13536,129.26587,28.5,28.5,5.093083,12.202827,47.4936,52.058838,,,,,,,,,,,,,,
01/12/2025 04:00,-19.732,-8.987,3.5890927,3.6432827,3.6362448,3.6634402,30.953161,31.10338,28.537302,28.637142,32.66964,33.98333,50.733,51.153,50.733,51.153,50.802002,51.177002,35.0173,43.290966,0.1,0.1,4,4,4,4,2,2,0,0,0.27191162,0.368042,0,0,28.5,28.5,-19.349,-8.919,40.334953,45.426487,38.710938,44.698242,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.57796305,8.919,19.349,8.987,19.732,0.45356852,0.9873795,0.58584213,0,0,0,3598.221,396.5534,852.5385,-0.57796305,0,0,0,43.333332,81.111115,3406.2268,0,0,3598.221,0,,,3598.221,8496.607,0.84957975,2.1239493,0.001011501,18.528938,1820.6512,0.7096486,145.06833,129.20612,28.5,28.5,5.6487136,12.3297415,41.112198,48.49634,,,,,,,,,,,,,,
01/12/2025 05:00,-14.98,-8.339,3.5809143,3.6234827,3.6206057,3.640425,30.894678,30.955711,28.539888,28.614113,32.72086,34.029427,50.511,50.841,50.511,50.841,50.55,50.871002,35.26509,43.261436,0.1,0.1,4,4,4,4,2,2,0,0,0.23071289,0.49713135,0,0,28.5,28.5,-14.636,-8.139,37.904907,40.571865,36.63238,39.616016,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.5015094,8.139,14.636,8.339,14.98,0.41174388,0.7406841,0.50752115,0,0,0,3599.8816,433.96756,805.64276,-0.5015094,0,0,0,78.888885,81.111115,3599.8816,0,0,3599.8816,0,,,3599.8816,8500.515,0.84997237,2.1249297,0.001011966,18.537487,1821.4905,0.7099765,145.13515,129.2658,28.5,28.5,6.1073394,11.428627,38.548717,42.22843,,,,,,,,,,,,,,
01/12/2025 06:00,-13.996,-8.106,3.5599196,3.6067467,3.6029348,3.6226144,30.894678,30.922636,28.578297,28.683147,32.769512,34.083202,50.253002,50.616,50.253002,50.616,50.322,50.637,35.395596,43.830658,0.1,0.1,4,4,4,4,2,2,0,0,0.1071167,0.23071289,0,0,28.5,28.5,-13.676,-7.968,35.113586,38.134876,33.83777,37.329723,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.46867236,7.968,13.676,8.106,13.996,0.40158722,0.6891473,0.4750787,0,0,0,3599.887,428.1958,755.03265,-0.46867236,0,0,0,78.888885,82.22222,3527.8955,0,0,3599.887,0,,,3599.887,8500.529,0.84997284,2.1249313,0.001011968,18.537498,1821.4929,0.7099772,145.13539,129.26582,28.5,28.5,5.9736943,10.580529,35.10212,39.40875,,,,,,,,,,,,,,
01/12/2025 07:00,-14.092,-8.197,3.5426433,3.5843623,3.582896,3.6042054,30.92014,31.016777,28.637142,28.772612,32.66964,34.060158,49.989002,50.337,49.989002,50.334,50.061,50.361,35.450886,44.026142,0.1,0.1,4,4,4,4,2,2,0,0,0.101623535,0.12359619,0,0,28,28.5,-14.347,-8.044,32.23482,35.353687,30.921312,34.410744,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.4640818,8.044,14.347,8.197,14.092,0.40423512,0.7215824,0.4721241,0,0,0,3599.8843,385.92157,679.2114,-0.4640818,0,0,0,78.888885,82.22222,3599.8843,0,0,3599.8843,0,,,3599.8843,8500.524,0.8499734,2.1249337,0.001011968,18.537516,1821.4907,0.70997787,145.13545,129.26591,28,28.5,5.3298593,9.37747,31.505255,35.80877,,,,,,,,,,,,,,
01/12/2025 08:00,-17.001,-8.207,3.5029721,3.564779,3.5580792,3.5845962,31.014238,31.23097,28.752142,28.968908,32.705494,34.060158,49.614002,50.067,49.614002,50.067,49.677002,50.079,35.383316,44.00239,0.1,0.1,4,4,4,4,2,2,0,0,0.09887695,0.4586792,0,0,28,28.5,-16.985,-8.105,28.643433,32.461987,27.181751,31.42462,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.48083115,8.105,16.985,8.207,17.001,0.40540397,0.8455473,0.4891145,0,0,0,3599.881,262.18362,616.05774,-0.48083115,0,0,0,77.77778,81.111115,3531.8674,0,0,3599.881,0,,,3599.881,8500.518,0.8499719,2.1249297,0.001011967,18.537472,1821.4905,0.7099764,145.13506,129.26575,28,28.5,3.5060112,8.379747,26.893253,32.125984,,,,,,,,,,,,,,
01/12/2025 09:00,-17.194,-8.319,3.4887323,3.5418074,3.532928,3.5611157,31.228365,31.445847,28.956131,29.18249,32.646595,34.044792,49.260002,49.722,49.260002,49.722,49.347,49.746002,35.392323,44.120834,0.1,0.1,4,4,4,4,2,2,0,0,0.101623535,0.5657959,0,0,28,28,-18.195,-8.121,24.792656,28.836096,23.34763,27.941816,1,1,1,1,0,0,0,0,0,0,,,0,0,0,0.5002819,8.121,18.195,8.319,17.194,0.40198952,0.90376383,0.5091238,0,0,0,3599.8838,204.79251,508.3276,-0.5002819,0,0,0,76.666664,81.111115,3599.8838,0,0,3599.8838,0,,,3599.8838,8500.53,0.84997225,2.1249309,0.001011968,18.537489,1821.4908,0.7099766,145.13531,129.26585,28,28,2.6108508,6.722857,22.16463,27.830643,,,,,,,,,,,,,,
